Image,ID,StemW,StemL,BladeL,MaxL,Cache,Class,StemCZ,lnBCZ,BladeCZ
TXGLT10W,77,21,32,28.82,60.82,Other,M,5.27268769,1.3414786,3.82469452
TXGLT11W,78,17,22,34.67,56.67,Other,S,3.96821701,1.3791101,3.971365936
TXGLT13W,79,21,19,37.48,56.48,Other,M,4.161002446,1.5565603,4.742480448
TXGLT1S,80,27,41,53,94,Other,L,7.088498416,1.8487629,6.351956654
TXGLT2S,81,23,27,55,82,Other,M,5.097414573,1.9159271,6.793233886
TXGLT3S,82,28,29,72,101,Other,L,5.902436727,2.1458543,8.549341821
TXGLT4W,83,14,25,38.51,63.51,Other,S,4.250752718,1.4895122,4.434931632
TXGLT5W,84,24,31,40.39,71.39,Other,M,5.59286915,1.6086884,4.996253842
TXGLT7W,85,14,26,46.88,72.88,Other,S,4.258138177,1.7064576,5.509410334
TXGLT9W,86,22,35,63.5,98.5,Other,M,6.097495737,1.9682324,7.158012796
TXMIA1S,87,22,31,84,115,Other,M,5.573674343,2.23487,9.345266889
TXMIA2S,88,25,28,88,116,Other,M,5.525798261,2.261186,9.594461453
WAEW3W,89,39,52,171,223,Cache,O,9.991900009,2.9206999,18.55426905
WAEW4W,90,42,69,124.06,193.06,Cache,O,11.95815655,2.6713665,14.4597149
WAEWS01S,91,45,41,189,230,Cache,O,9.584505445,3.0163593,20.41682468
WAEWS02S,92,48,59,173,232,Cache,O,11.46064599,2.9381906,18.88165093
WYCB1W,93,16,26,34,60,Other,S,4.871867323,1.460207,4.306850954
WYCBY02S,94,36,41,56,97,Other,L,7.234190215,1.9033495,6.708326393
WYCBY03S,95,26,20,45,65,Other,M,5.235930126,1.7346968,5.667209245
WYCKM01S,96,24,24,68,92,Other,M,5.219374556,2.0491178,7.761051286
WYCSP01S,97,25,27,48,75,Other,M,5.365669695,1.7735608,5.891795559
WYHEL01S,98,30,25,88,113,Other,L,6.319096145,2.2944258,9.918739037
WYHEL02S,99,32,20,67,87,Other,L,6.086999423,2.109674,8.245552796
WYSH1W,100,20,21,46,67,Other,M,4.360232516,1.7259803,5.618025682
